,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,director,cast,country,date_added,rating,duration,listed_in,description
369,tm176128,Don't Go Breaking My Heart,MOVIE,2011,,115,"['comedy', 'romance']",['HK'],,tt1776143,6.5,1868.0,4.168,6.447,Johnnie To,"Louis Koo, Gao Yuanyuan, Daniel Wu",Hong Kong,"December 1, 2018",TV-PG,115 min,"Comedies, International Movies, Romantic Movies","A financial analyst succumbs to a love triangle with a hard-drinking architect and a promiscuous investment bro, who soon becomes her boss."
370,tm160021,A Beautiful Life,MOVIE,2011,,122,"['drama', 'romance']","['HK', 'CN']",,tt1934335,6.7,927.0,3.007,6.15,Andrew Lau Wai-Keung,"Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong","December 1, 2018",TV-14,122 min,"Dramas, International Movies, Romantic Movies","After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives."
371,tm180532,Shaitan,MOVIE,2011,PG-13,126,"['drama', 'thriller', 'action', 'crime']",['IN'],,tt1836912,7.2,8605.0,2.916,6.288,Bejoy Nambiar,"Rajeev Khandelwal, Kalki Koechlin, Gulshan Devaiah, Shiv Pandit, Kirti Kulhari, Neil Bhoopalam, Nikhil Chinappa, Rajit Kapoor, Rajkummar Rao, Pavan Malhotra",India,"July 5, 2020",TV-MA,126 min,"Action & Adventure, Dramas, Independent Movies","When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom."
372,ts45996,Outback Truckers,SHOW,2012,TV-14,44,"['reality', 'documentation']",['AU'],9.0,tt5632186,7.4,264.0,7.967,7.111,,,Australia,"March 17, 2017",TV-MA,3 Seasons,Reality TV,"Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time."
373,tm172883,Game,MOVIE,2011,PG,135,"['thriller', 'drama', 'action', 'crime', 'european']",['IN'],,tt1772872,5.2,2439.0,3.975,5.304,Abhinay Deo,"Abhishek Bachchan, Kangana Ranaut, Anupam Kher, Boman Irani, Jimmy Shergill, Shahana Goswami, Gauhar Khan, Sarah-Jane Dias",India,"December 15, 2019",TV-14,135 min,"International Movies, Thrillers","A tycoon accuses three strangers of killing his daughter but mysteriously dies before he can expose them, sparking a tangled hunt for the real culprit."
374,tm53360,Blood Money,MOVIE,2012,PG,110,"['drama', 'action', 'thriller', 'crime']",['IN'],,tt2246595,4.8,1122.0,12.021,6.1,Vishal Mahadkar,"Manish Chaudhary, Kunal Kemmu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",India,"July 5, 2020",TV-14,110 min,"Dramas, International Movies, Romantic Movies","Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career."
375,tm177258,Delhi Belly,MOVIE,2011,,101,"['action', 'crime', 'thriller', 'comedy']",['IN'],,tt1934231,7.5,30671.0,8.031,6.903,Abhinay Deo,"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasury, Vijay Raaz, Paresh Ganatra, Rahul Singh",India,"April 17, 2021",TV-MA,101 min,"Action & Adventure, Comedies, International Movies","Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them."
376,tm48239,Ek Main Aur Ekk Tu,MOVIE,2012,PG,110,"['drama', 'comedy', 'romance']",['IN'],,tt1703958,5.8,6969.0,4.676,5.627,Shakun Batra,"Kareena Kapoor, Imran Khan, Boman Irani, Ram Kapoor, Ratna Pathak Shah, Zenobia Shroff, Soniya Mehra, Akshat Verma, Dana Lewis, Rajesh Khattar",India,"October 1, 2018",TV-14,106 min,"Comedies, International Movies, Romantic Movies",Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy.
377,tm44615,Ferrari Ki Sawaari,MOVIE,2012,G,140,"['family', 'comedy', 'drama', 'sport']",['IN'],,tt2122340,6.4,5599.0,2.615,6.196,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",India,"April 1, 2021",TV-PG,133 min,"Comedies, International Movies, Sports Movies",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
378,tm29400,Bwakaw,MOVIE,2012,,104,"['comedy', 'drama']",['PH'],,tt2244376,7.2,320.0,2.1,6.3,Jun Lana,"Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza","Philippines, Canada, United Kingdom, United States","December 16, 2020",TV-MA,110 min,"Dramas, International Movies, LGBTQ Movies","Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality."
379,ts33349,Robocar Poli,SHOW,2011,TV-Y,14,"['animation', 'comedy', 'family', 'fantasy']",['KR'],4.0,tt4763642,6.0,134.0,16.782,6.25,,"Donald Reignoux, Alexis Tomassian, Thomas Sagols, Pierre Francois Pistori, Bruno Magne, Catherine Desplaces, Fily Keita, Adeline Chetail, Bertrand Liebert, Christophe Lemoine",South Korea,"March 31, 2021",TV-Y,2 Seasons,"Kids' TV, Korean TV Shows","When disaster strikes in Brooms Town, police car Robocar Poli, fire truck Robotruck Roy and their friends on the rescue team race to save the day."
380,tm159593,No One Killed Jessica,MOVIE,2011,PG-13,136,"['crime', 'drama', 'thriller']",['IN'],,tt1734110,7.2,11982.0,5.382,6.731,Raj Kumar Gupta,"Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam, Rajesh Sharma, Mohammed Zeeshan Ayyub, Bubbles Sabharwal, Satyadeep Misra, Yogendra Tikku, Geeta Sudan",India,"November 1, 2018",TV-MA,131 min,"Dramas, International Movies",This thriller tells the true story of model Jessica Lall – who was shot dead in a restaurant – and the campaign to bring her killer to justice.
