Round,Round Name,Home Team,Away Team,UTC Time,Finished,Started,Cancelled,Awarded,Score,Match Status,,,,
13,13,Juventus,Inter,2023-11-26T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
13,13,Hellas Verona,Lecce,2023-11-27T17:30:00Z,TRUE,TRUE,FALSE,FALSE,2_2,Full-Time,,,,
13,13,Bologna,Torino,2023-11-27T19:45:00Z,TRUE,TRUE,FALSE,FALSE,2_0,Full-Time,,,,
14,14,Monza,Juventus,2023-12-01T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
14,14,Genoa,Empoli,2023-12-02T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
14,14,Lazio,Cagliari,2023-12-02T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
14,14,Milan,Frosinone,2023-12-02T19:45:00Z,TRUE,TRUE,FALSE,FALSE,3_1,Full-Time,,,,
14,14,Lecce,Bologna,2023-12-03T11:30:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
14,14,Fiorentina,Salernitana,2023-12-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
14,14,Udinese,Hellas Verona,2023-12-03T14:00:00Z,TRUE,TRUE,FALSE,FALSE,3_3,Full-Time,,,,
14,14,Sassuolo,Roma,2023-12-03T17:00:00Z,TRUE,TRUE,FALSE,FALSE,1_2,Full-Time,,,,
14,14,Napoli,Inter,2023-12-03T19:45:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 3,Full-Time,,,,
14,14,Torino,Atalanta,2023-12-04T19:45:00Z,TRUE,TRUE,FALSE,FALSE,3_0,Full-Time,,,,
15,15,Juventus,Napoli,2023-12-08T19:45:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
15,15,Hellas Verona,Lazio,2023-12-09T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_1,Full-Time,,,,
15,15,Atalanta,Milan,2023-12-09T17:00:00Z,TRUE,TRUE,FALSE,FALSE,3_2,Full-Time,,,,
15,15,Inter,Udinese,2023-12-09T19:45:00Z,TRUE,TRUE,FALSE,FALSE,4_0,Full-Time,,,,
15,15,Frosinone,Torino,2023-12-10T11:30:00Z,TRUE,TRUE,FALSE,FALSE,0 _ 0,Full-Time,,,,
15,15,Monza,Genoa,2023-12-10T14:00:00Z,TRUE,TRUE,FALSE,FALSE,1_0,Full-Time,,,,
