Match Number,Round Number,Date,Location,Home Team,Away Team,Result
245,25,03/03/2023 20:45,Diego Armando Maradona,Napoli,Lazio,0 - 1
244,25,04/03/2023 15:00,Brianteo,Monza,Empoli,2 - 1
241,25,04/03/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Udinese,0 - 0
242,25,04/03/2023 20:45,Artemio Franchi,Fiorentina,Milan,2 - 1
249,25,05/03/2023 12:30,Alberto Picco,Spezia,Hellas Verona,0 - 0
247,25,05/03/2023 15:00,Luigi Ferraris,Sampdoria,Salernitana,0 - 0
243,25,05/03/2023 18:00,San Siro,Inter,Lecce,2 - 0
246,25,05/03/2023 20:45,Olimpico,Roma,Juventus,1 - 0
248,25,06/03/2023 18:30,Città del Tricolore,Sassuolo,Cremonese,3 - 2
250,25,06/03/2023 20:45,Olimpico Grande Torino,Torino,Bologna,1 - 0
260,26,10/03/2023 20:45,Alberto Picco,Spezia,Inter,2 - 1
253,26,11/03/2023 15:00,Carlo Castellani,Empoli,Udinese,0 - 1
258,26,11/03/2023 18:00,Diego Armando Maradona,Napoli,Atalanta,2 - 0
251,26,11/03/2023 20:45,Renato Dall'Ara,Bologna,Lazio,0 - 0
256,26,12/03/2023 12:30,Via del mare,Lecce,Torino,0 - 2
252,26,12/03/2023 15:00,Giovanni Zini,Cremonese,Fiorentina,0 - 2
254,26,12/03/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Monza,1 - 1
259,26,12/03/2023 18:00,Olimpico,Roma,Sassuolo,3 - 4
255,26,12/03/2023 20:45,Juventus Stadium,Juventus,Sampdoria,4 - 2
257,26,13/03/2023 20:45,San Siro,Milan,Salernitana,1 - 1
268,27,17/03/2023 18:30,Città del Tricolore,Sassuolo,Spezia,1 - 0
261,27,17/03/2023 20:45,Atleti Azzurri d'Italia,Atalanta,Empoli,2 - 1
265,27,18/03/2023 15:00,Brianteo,Monza,Cremonese,1 - 1
266,27,18/03/2023 18:00,Arechi,Salernitana,Bologna,2 - 2
270,27,18/03/2023 20:45,Friuli,Udinese,Milan,3 - 1
267,27,19/03/2023 12:30,Luigi Ferraris,Sampdoria,Hellas Verona,3 - 1
