Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
268,Arthur,Fiorentina,0.8,2.0,1993,33,BRA
268,Luka Jovic,Milan,0.8,2.0,867,23,SRB
271,Andrea Colpani,Monza,0.8,1.0,2683,38,ITA
272,Nedim Bajrami,Sassuolo,0.8,0.0,1312,28,ALB
273,Tijjani Reijnders,Milan,0.7,8.0,2830,36,NED
274,Amir Rrahmani,Napoli,0.7,5.0,2602,30,KVX
274,Rasmus Kristensen,Roma,0.7,5.0,1743,29,DEN
276,Alessandro Zanoli,Salernitana,0.7,4.0,969,21,ITA
276,Florian Thauvin,Udinese,0.7,4.0,1713,29,FRA
276,Marcus Holmgren Pedersen,Sassuolo,0.7,4.0,1605,28,NOR
276,Sebastiano Luperto,Empoli,0.7,4.0,3407,38,ITA
280,Adam Marusic,Lazio,0.7,3.0,3106,37,MNE
280,Leo Østigard,Napoli,0.7,3.0,1621,25,NOR
282,Christian Pulisic,Milan,0.7,2.0,2620,36,USA
282,Gabriele Zappa,Cagliari,0.7,2.0,2559,38,ITA
282,Stephan El Shaarawy,Roma,0.7,2.0,1741,33,ITA
285,Andrea Carboni,Monza,0.7,1.0,1490,21,ITA
285,Charles De Ketelaere,Atalanta,0.7,1.0,2042,35,BEL
285,Francesco Acerbi,Internazionale,0.7,1.0,2386,29,ITA
285,Piotr Zielinski,Napoli,0.7,1.0,1938,28,POL
285,Radu Dragusin,Genoa,0.7,1.0,1710,19,ROU
285,Simon Kjær,Milan,0.7,1.0,1171,20,DEN
285,Uros Racic,Sassuolo,0.7,1.0,813,22,SRB
292,Francesco Caputo,Empoli,0.7,0.0,1274,20,ITA
293,Luis Alberto,Lazio,0.6,7.0,2323,33,ESP
294,Alessandro Florenzi,Milan,0.6,5.0,1730,31,ITA
294,Tommaso Augello,Cagliari,0.6,5.0,2429,32,ITA
296,Andrea Pinamonti,Sassuolo,0.6,4.0,3100,38,ITA
296,Loum Tchaouna,Salernitana,0.6,4.0,2099,33,FRA
298,Michael Kayode,Fiorentina,0.6,2.0,2063,26,ITA
299,Ilario Monterisi,Frosinone,0.6,1.0,1467,24,ITA
299,Riccardo Sottil,Fiorentina,0.6,1.0,1108,22,ITA
299,Samuel Chukwueze,Milan,0.6,1.0,1012,24,NGA
302,Domagoj Bradaric,Salernitana,0.5,5.0,2753,34,CRO
