Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
239,Norbert Gyömbér,Salernitana,0.3,62.5,1762,22,SVK
241,Mateusz Wieteska,Cagliari,0.3,60.0,958,19,POL
241,Rolando Mandragora,Fiorentina,0.3,60.0,1584,33,ITA
243,Johan Vásquez,Genoa,0.3,58.8,2851,37,MEX
244,Gianluca Lapadula,Cagliari,0.3,57.1,1206,23,PER
244,Leandro Paredes,Roma,0.3,57.1,2644,34,ARG
246,Ilario Monterisi,Frosinone,0.3,55.6,1467,24,ITA
247,Roberto Gagliardini,Monza,0.3,53.3,2366,33,ITA
247,Youssef Maleh,Empoli,0.3,53.3,2610,34,MAR
249,Alexis Blin,Lecce,0.3,50.0,1632,31,FRA
249,Enzo Barrenechea,Frosinone,0.3,50.0,2816,36,ARG
251,Federico Gatti,Juventus,0.3,47.4,2640,32,ITA
252,Giulio Maggiore,Salernitana,0.3,46.2,1807,27,ITA
252,Jeremy Toljan,Sassuolo,0.3,46.2,2085,25,GER
254,Isak Hien,Atalanta,0.3,45.5,1794,26,SWE
255,Morten Thorsby,Genoa,0.3,44.4,1143,24,NOR
256,Andrea Pinamonti,Sassuolo,0.3,42.9,3100,38,ITA
256,Jackson Tchatchoua,Verona,0.3,42.9,1725,26,CMR
258,Gabriele Zappa,Cagliari,0.3,36.0,2559,38,ITA
259,Matteo Guendouzi,Lazio,0.3,35.0,2370,33,FRA
260,Federico Dimarco,Internazionale,0.3,33.3,2105,30,ITA
260,Samuele Ricci,Torino,0.3,33.3,2400,32,ITA
262,Filip Kostic,Juventus,0.3,28.6,1831,29,SRB
262,Stefano Sabelli,Genoa,0.3,28.6,2448,32,ITA
264,Pawel Dawidowicz,Verona,0.2,80.0,2143,28,POL
265,Sebastiano Luperto,Empoli,0.2,77.8,3407,38,ITA
266,Pablo Mari,Monza,0.2,71.4,2616,34,ESP
267,Alberto Dossena,Cagliari,0.2,62.5,2979,35,ITA
268,Alberto Grassi,Empoli,0.2,55.6,1823,27,ITA
269,Alessandro Vogliacco,Genoa,0.2,50.0,1171,20,ITA
269,Andrea Carboni,Monza,0.2,50.0,1490,21,ITA
269,Hakan Calhanoglu,Internazionale,0.2,50.0,2576,32,TUR
272,Matteo Prati,Cagliari,0.2,44.4,1972,26,ITA
273,Mario Rui,Napoli,0.2,42.9,1205,21,POR
274,Rémi Oudin,Lecce,0.2,36.4,1826,31,FRA
275,Luca Ranieri,Fiorentina,0.2,33.3,2067,26,ITA
275,Matteo Darmian,Internazionale,0.2,33.3,2413,33,ITA
275,Maxime Lopez,Fiorentina,0.2,33.3,936,21,FRA
278,Cristiano Biraghi,Fiorentina,0.2,30.8,2358,29,ITA
279,Davide Calabria,Milan,0.2,30.0,2191,29,ITA
280,Charalambos Lykogiannis,Bologna,0.2,28.6,899,22,GRE
281,Elseid Hysaj,Lazio,0.2,25.0,1194,22,ALB
282,Darko Lazovic,Verona,0.2,20.8,1942,32,SRB
283,Adam Masina,Torino,0.1,100.0,1083,20,MAR
283,Josep Martinez,Genoa,0.1,100.0,3239,36,ESP
283,Michele Di Gregorio,Monza,0.1,100.0,2874,33,ITA
283,Nicolo Casale,Lazio,0.1,100.0,1557,20,ITA
283,Stefan de Vrij,Internazionale,0.1,100.0,1578,25,NED
288,Gianluca Mancini,Roma,0.1,80.0,2872,36,ITA
289,Gian Marco Ferrari,Sassuolo,0.1,75.0,2268,31,ITA
290,Benjamin Pavard,Internazionale,0.1,66.7,1677,23,FRA
290,Evan N'Dicka,Roma,0.1,66.7,2170,25,CIV
290,Francesco Acerbi,Internazionale,0.1,66.7,2386,29,ITA
290,Leo Østigard,Napoli,0.1,66.7,1621,25,NOR
290,Martin Erlic,Sassuolo,0.1,66.7,2624,32,CRO
290,Nikola Milenkovic,Fiorentina,0.1,66.7,2506,34,SRB
290,Sam Beukema,Bologna,0.1,66.7,2549,30,NED
297,Milan Djuric,Monza,0.1,57.1,2464,37,BIH
