Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
207,Fikayo Tomori,Milan,0.7,23.5,2125,26,ENG
208,Diego Coppola,Verona,0.7,15.4,1636,24,ITA
209,Riccardo Calafiori,Bologna,0.7,11.8,2338,30,ITA
210,Matheus Henrique,Sassuolo,0.7,10.5,2501,31,BRA
211,Alberto Dossena,Cagliari,0.7,8.3,2979,35,ITA
211,Mathias Olivera,Napoli,0.7,8.3,1572,23,URU
213,Walace,Udinese,0.7,7.4,3243,37,BRA
214,Lorenzo Pirola,Salernitana,0.7,6.7,1991,27,ITA
215,Stefan Posch,Bologna,0.7,5.6,2418,31,AUT
216,Gabriele Zappa,Cagliari,0.7,5.3,2559,38,ITA
216,Giorgio Scalvini,Atalanta,0.7,5.3,2553,33,ITA
218,Milan Badelj,Genoa,0.7,4.8,2555,33,CRO
219,Manuel Locatelli,Juventus,0.7,4.2,3011,36,ITA
220,Alexis Blin,Lecce,0.7,0.0,1632,31,FRA
220,Fabiano Parisi,Fiorentina,0.7,0.0,1452,21,ITA
220,Juan Cabal,Verona,0.7,0.0,1497,22,COL
220,Michel Aebischer,Bologna,0.7,0.0,2234,36,SUI
220,Pasquale Mazzocchi,Napoli,0.7,0.0,1704,28,ITA
225,Gianluca Mancini,Roma,0.6,21.1,2872,36,ITA
226,Francesco Acerbi,Internazionale,0.6,20.0,2386,29,ITA
227,Cristiano Biraghi,Fiorentina,0.6,11.8,2358,29,ITA
228,Stefan de Vrij,Internazionale,0.6,10.0,1578,25,NED
229,Daniel Boloca,Sassuolo,0.6,7.7,2023,30,ROU
230,Alessandro Bastoni,Internazionale,0.6,6.7,2283,28,ITA
231,Gian Marco Ferrari,Sassuolo,0.6,6.3,2268,31,ITA
232,Danilo,Juventus,0.6,5.9,2451,29,BRA
233,Domagoj Bradaric,Salernitana,0.6,0.0,2753,34,CRO
233,Enzo Barrenechea,Frosinone,0.6,0.0,2816,36,ARG
233,Francesco Gelli,Frosinone,0.6,0.0,1558,27,ITA
233,Jaka Bijol,Udinese,0.6,0.0,2083,24,SVN
233,Lassana Coulibaly,Salernitana,0.6,0.0,2086,28,MLI
233,Liberato Cacace,Empoli,0.6,0.0,1907,31,NZL
233,Marten de Roon,Atalanta,0.6,0.0,2599,30,NED
233,Mateusz Legowski,Salernitana,0.6,0.0,1132,29,POL
233,Mergim Vojvoda,Torino,0.6,0.0,1372,28,KVX
233,Nehuén Pérez,Udinese,0.6,0.0,3238,36,ARG
233,Youssef Maleh,Empoli,0.6,0.0,2610,34,MAR
244,Alessandro Buongiorno,Torino,0.5,23.1,2530,29,ITA
245,Pol Lirola,Frosinone,0.5,22.2,1538,25,ESP
246,Arthur,Fiorentina,0.5,16.7,1993,33,BRA
246,Gleison Bremer,Juventus,0.5,16.7,3234,36,BRA
248,Leonardo Spinazzola,Roma,0.5,12.5,1312,24,ITA
249,Rasmus Kristensen,Roma,0.5,11.1,1743,29,DEN
249,Valentin Gendrey,Lecce,0.5,11.1,3050,37,FRA
251,Sead Kolasinac,Atalanta,0.5,7.7,2182,30,BIH
252,Remo Freuler,Bologna,0.5,7.1,2632,32,SUI
253,Sebastiano Luperto,Empoli,0.5,5.3,3407,38,ITA
254,Adam Masina,Torino,0.5,0.0,1083,20,MAR
254,Antonino Gallo,Lecce,0.5,0.0,2500,35,ITA
254,Federico Baschirotto,Lecce,0.5,0.0,3295,37,ITA
254,Filippo Terracciano,Verona,0.5,0.0,1368,21,ITA
254,Jeremy Toljan,Sassuolo,0.5,0.0,2085,25,GER
254,Josh Doig,Sassuolo,0.5,0.0,2183,28,SCO
254,Simon Kjær,Milan,0.5,0.0,1171,20,DEN
261,Mattia Bani,Genoa,0.4,22.2,2309,27,ITA
262,Jordan Zemura,Udinese,0.4,20.0,1033,27,ZIM
262,Luca Ranieri,Fiorentina,0.4,20.0,2067,26,ITA
