Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
207,Olivier Giroud,Milan,0.3,0.6,2372,35,FRA
208,Nicolo Rovella,Lazio,0.2,4.2,1322,23,ITA
208,Walace,Udinese,0.2,4.2,3243,37,BRA
210,Riccardo Calafiori,Bologna,0.2,3.1,2338,30,ITA
211,Grigoris Kastanos,Salernitana,0.2,3.0,1486,26,CYP
211,Michel Aebischer,Bologna,0.2,3.0,2234,36,SUI
213,Sead Kolasinac,Atalanta,0.2,2.8,2182,30,BIH
214,Michael Folorunsho,Verona,0.2,2.6,2793,34,ITA
215,Isak Hien,Atalanta,0.2,2.4,1794,26,SWE
216,Alessio Zerbin,Monza,0.2,2.3,829,20,ITA
216,Stephan El Shaarawy,Roma,0.2,2.3,1741,33,ITA
218,Filippo Terracciano,Verona,0.2,2.2,1368,21,ITA
218,Jhon Lucumi,Bologna,0.2,2.2,2214,29,COL
220,Elseid Hysaj,Lazio,0.2,2.0,1194,22,ALB
220,Michael Kayode,Fiorentina,0.2,2.0,2063,26,ITA
220,Yunus Musah,Milan,0.2,2.0,1468,30,USA
223,Davide Calabria,Milan,0.2,1.9,2191,29,ITA
223,Giovanni Di Lorenzo,Napoli,0.2,1.9,3235,36,ITA
223,Juan Cabal,Verona,0.2,1.9,1497,22,COL
223,Manuel Lazzari,Lazio,0.2,1.9,1675,24,ITA
227,Cristiano Biraghi,Fiorentina,0.2,1.8,2358,29,ITA
227,Davide Frattesi,Internazionale,0.2,1.8,934,32,ITA
227,Isaac Success,Udinese,0.2,1.8,872,27,NGA
227,Mateusz Wieteska,Cagliari,0.2,1.8,958,19,POL
231,Danilo,Juventus,0.2,1.7,2451,29,BRA
231,Joao Ferreira,Udinese,0.2,1.7,1812,35,POR
233,Armando Izzo,Monza,0.2,1.6,1653,23,ITA
233,Giuseppe Pezzella,Empoli,0.2,1.6,1088,19,ITA
233,Raoul Bellanova,Torino,0.2,1.6,3063,37,ITA
233,Stefan Posch,Bologna,0.2,1.6,2418,31,AUT
233,Tommaso Augello,Cagliari,0.2,1.6,2429,32,ITA
238,Ruan Tressoldi,Sassuolo,0.2,1.5,1515,26,BRA
239,Benjamin Pavard,Internazionale,0.2,1.4,1677,23,FRA
239,Jordan Zemura,Udinese,0.2,1.4,1033,27,ZIM
241,Antonio Candreva,Salernitana,0.2,1.3,2757,34,ITA
241,Rasmus Kristensen,Roma,0.2,1.3,1743,29,DEN
241,Warren Bondo,Monza,0.2,1.3,1471,25,FRA
244,Gabriele Zappa,Cagliari,0.2,1.2,2559,38,ITA
244,Marcus Holmgren Pedersen,Sassuolo,0.2,1.2,1605,28,NOR
244,Milan Djuric,Monza,0.2,1.2,2464,37,BIH
247,Aaron Caricol,Genoa,0.2,1.1,1380,22,ESP
248,Victor Kristiansen,Bologna,0.2,1.0,2312,32,DEN
249,Samuele Birindelli,Monza,0.2,0.7,2013,35,ITA
250,Kristjan Asllani,Internazionale,0.1,3.5,771,23,ALB
251,Matteo Pessina,Monza,0.1,2.8,3228,37,ITA
252,Giangiacomo Magnani,Verona,0.1,2.5,2441,33,ITA
253,Amir Rrahmani,Napoli,0.1,2.3,2602,30,KVX
253,Berat Djimsiti,Atalanta,0.1,2.3,2831,37,ALB
253,Ilario Monterisi,Frosinone,0.1,2.3,1467,24,ITA
253,Jackson Tchatchoua,Verona,0.1,2.3,1725,26,CMR
257,Alessandro Buongiorno,Torino,0.1,2.2,2530,29,ITA
257,Antonino Gallo,Lecce,0.1,2.2,2500,35,ITA
257,Federico Gatti,Juventus,0.1,2.2,2640,32,ITA
257,Pawel Dawidowicz,Verona,0.1,2.2,2143,28,POL
257,Rolando Mandragora,Fiorentina,0.1,2.2,1584,33,ITA
262,Adam Marusic,Lazio,0.1,2.1,3106,37,MNE
262,Alberto Dossena,Cagliari,0.1,2.1,2979,35,ITA
