Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
214,Evan N'Dicka,Roma,0.7,56.3,2170,25,CIV
215,Giangiacomo Magnani,Verona,0.7,54.5,2441,33,ITA
215,Nicola Sansone,Lecce,0.7,54.5,750,25,ITA
215,Samuele Ricci,Torino,0.7,54.5,2400,32,ITA
218,Rémi Oudin,Lecce,0.7,53.8,1826,31,FRA
219,Lucas Beltran,Fiorentina,0.7,51.9,1694,32,ARG
220,Khvicha Kvaratskhelia,Napoli,0.7,50.0,2750,34,GEO
220,Leo Østigard,Napoli,0.7,50.0,1621,25,NOR
222,Aaron Caricol,Genoa,0.7,47.6,1380,22,ESP
223,Lazar Samardzic,Udinese,0.7,47.5,2380,34,SRB
224,Adrien Tamèze,Torino,0.7,45.7,2154,29,FRA
225,Mario Gila,Lazio,0.7,43.8,1813,21,ESP
226,Antonio Sanabria,Torino,0.6,83.3,2133,35,PAR
227,Radu Dragusin,Genoa,0.6,68.8,1710,19,ROU
228,Armand Laurienté,Sassuolo,0.6,64.5,2926,37,FRA
229,Cyril Ngonge,Napoli,0.6,63.2,1743,32,BEL
230,Joshua Zirkzee,Bologna,0.6,62.5,2771,34,NED
231,Charalambos Lykogiannis,Bologna,0.6,60.0,899,22,GRE
231,Davide Frattesi,Internazionale,0.6,60.0,934,32,ITA
231,Gianluca Scamacca,Atalanta,0.6,60.0,1459,29,ITA
234,Paulo Dybala,Roma,0.6,59.1,1973,28,ARG
235,Gianluca Mancini,Roma,0.6,58.8,2872,36,ITA
236,Federico Gatti,Juventus,0.6,57.6,2640,32,ITA
237,Moise Kean,Juventus,0.6,57.1,650,19,ITA
237,Nikola Vlasic,Torino,0.6,57.1,2614,33,CRO
239,Luca Caldirola,Monza,0.6,56.0,2139,29,ITA
240,Jonathan Ikoné,Fiorentina,0.6,50.0,1685,28,FRA
241,Giacomo Raspadori,Napoli,0.6,47.6,1572,37,ITA
242,Matteo Guendouzi,Lazio,0.6,44.1,2370,33,FRA
243,Rolando Mandragora,Fiorentina,0.6,42.3,1584,33,ITA
244,Samuel Chukwueze,Milan,0.6,38.9,1012,24,NGA
245,Jesper Lindstrøm,Napoli,0.6,37.5,417,22,DEN
246,Ciro Immobile,Lazio,0.5,81.8,1656,31,ITA
247,Lautaro Martinez,Internazionale,0.5,72.7,2668,33,ARG
247,M'Bala Nzola,Fiorentina,0.5,72.7,1545,33,ANG
249,Marcus Thuram,Internazionale,0.5,65.2,2707,35,FRA
250,Roberto Piccoli,Lecce,0.5,63.6,1397,37,ITA
251,Valentino Lazaro,Torino,0.5,61.1,1989,35,AUT
252,Andrea Colpani,Monza,0.5,60.0,2683,38,ITA
252,Nicolo Casale,Lazio,0.5,60.0,1557,20,ITA
254,Francesco Acerbi,Internazionale,0.5,59.1,2386,29,ITA
255,Theo Hernández,Milan,0.5,56.7,2794,32,FRA
256,Arkadiusz Milik,Juventus,0.5,55.6,902,32,POL
257,Tommaso Baldanzi,Roma,0.5,53.8,1259,27,ITA
258,Giorgos Kyriakopoulos,Monza,0.5,52.6,1716,28,GRE
259,Matteo Ruggeri,Atalanta,0.5,51.7,2466,34,ITA
260,Aleksey Miranchuk,Atalanta,0.5,50.0,1170,27,RUS
260,Giacomo Bonaventura,Fiorentina,0.5,50.0,2285,31,ITA
262,Sandi Lovric,Udinese,0.5,48.0,1988,29,SVN
263,Mergim Vojvoda,Torino,0.5,47.1,1372,28,KVX
264,Leonardo Spinazzola,Roma,0.5,46.7,1312,24,ITA
265,Marco Brescianini,Frosinone,0.5,46.4,2321,36,ITA
266,Gianluca Gaetano,Cagliari,0.5,45.5,905,20,ITA
266,Valentin Castellanos,Lazio,0.5,45.5,1676,35,ARG
268,Simone Romagnoli,Frosinone,0.5,42.9,2716,33,ITA
269,Marko Arnautovic,Internazionale,0.5,40.0,779,27,AUT
270,Marvin Cuni,Frosinone,0.5,37.5,522,22,ALB
271,Giovanni Simeone,Napoli,0.5,33.3,787,28,ARG
272,Jeremy Toljan,Sassuolo,0.4,76.9,2085,25,GER
273,Antonio Candreva,Salernitana,0.4,72.2,2757,34,ITA
274,Luca Ranieri,Fiorentina,0.4,71.4,2067,26,ITA
275,Isaac Success,Udinese,0.4,66.7,872,27,NGA
275,Kaio Jorge,Frosinone,0.4,66.7,805,20,BRA
275,Luka Jovic,Milan,0.4,66.7,867,23,SRB
275,Noah Okafor,Milan,0.4,66.7,869,28,SUI
279,Olivier Giroud,Milan,0.4,64.7,2372,35,FRA
280,Rafael Leao,Milan,0.4,62.5,2523,34,POR
281,Patric,Lazio,0.4,61.5,1610,20,ESP
282,Lorenzo Lucca,Udinese,0.4,57.9,2600,37,ITA
283,Mateo Retegui,Genoa,0.4,52.9,2225,29,ITA
284,Federico Chiesa,Juventus,0.4,50.0,2207,33,ITA
284,Loum Tchaouna,Salernitana,0.4,50.0,2099,33,FRA
284,Riccardo Sottil,Fiorentina,0.4,50.0,1108,22,ITA
287,Roberto Pereyra,Udinese,0.4,47.4,1862,27,ARG
288,Nedim Bajrami,Sassuolo,0.4,46.2,1312,28,ALB
289,Gian Marco Ferrari,Sassuolo,0.4,45.5,2268,31,ITA
290,Andrea Belotti,Fiorentina,0.4,43.8,1624,29,ITA
291,Hans Hateboer,Atalanta,0.4,41.7,1104,23,NED
292,Sam Beukema,Bologna,0.4,40.7,2549,30,NED
293,Uros Racic,Sassuolo,0.4,40.0,813,22,SRB
294,Mattia Bani,Genoa,0.4,38.5,2309,27,ITA
295,Eldor Shomurodov,Cagliari,0.4,36.4,933,22,UZB
296,Gustav Isaksen,Lazio,0.3,75.0,1069,28,DEN
297,Zito Luvumbo,Cagliari,0.3,66.7,1947,30,ANG
298,Walid Cheddira,Frosinone,0.3,58.3,2130,36,MAR
299,Federico Baschirotto,Lecce,0.3,57.1,3295,37,ITA
300,Dany Mota,Monza,0.3,53.8,2059,34,POR
301,Caleb Ekuban,Genoa,0.3,50.0,1123,29,GHA
302,Albert Gudmundsson,Genoa,0.3,43.5,3022,35,ISL
303,Matteo Politano,Napoli,0.3,42.1,2384,37,ITA
304,Ivan Ilic,Torino,0.3,36.4,2099,31,SRB
305,Christian Kouamé,Fiorentina,0.3,30.8,1084,23,CIV
306,Samuele Mulattieri,Sassuolo,0.2,100.0,441,27,ITA
307,Milan Djuric,Monza,0.2,83.3,2464,37,BIH
307,Romelu Lukaku,Roma,0.2,83.3,2644,32,BEL
309,Andrea Pinamonti,Sassuolo,0.2,61.5,3100,38,ITA
310,Florian Thauvin,Udinese,0.2,57.1,1713,29,FRA
311,Dusan Vlahovic,Juventus,0.2,55.6,2317,33,SRB
