Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
218,Riccardo Marchizza,Frosinone,1.0,4.0,1149,13,ITA
218,Tijjani Noslin,Verona,1.0,4.0,1346,17,NED
221,Arthur,Fiorentina,1.0,3.0,1993,33,BRA
221,Davide Calabria,Milan,1.0,3.0,2191,29,ITA
221,Milan Badelj,Genoa,1.0,3.0,2555,33,CRO
224,Alexis Blin,Lecce,1.0,2.0,1632,31,FRA
224,Alexis Saelemaekers,Bologna,1.0,2.0,1892,30,BEL
224,Gregoire Defrel,Sassuolo,1.0,2.0,751,20,MTQ
224,Ilario Monterisi,Frosinone,1.0,2.0,1467,24,ITA
224,Jakub Jankto,Cagliari,1.0,2.0,878,18,CZE
224,Jens-Lys Cajuste,Napoli,1.0,2.0,1007,26,SWE
224,Josh Doig,Verona,1.0,2.0,2183,28,SCO
224,Junior Sambia,Salernitana,1.0,2.0,1031,18,FRA
224,Mateo Retegui,Genoa,1.0,2.0,2225,29,ITA
224,Matheus Henrique,Sassuolo,1.0,2.0,2501,31,BRA
224,Nicola Sansone,Lecce,1.0,2.0,750,25,ITA
224,Santiago Pierotti,Lecce,1.0,2.0,190,11,ARG
224,Suat Serdar,Verona,1.0,2.0,1661,25,GER
237,Alberto Grassi,Empoli,1.0,1.0,1823,27,ITA
237,Berat Djimsiti,Atalanta,1.0,1.0,2831,37,ALB
237,Carlos Alcaraz,Juventus,1.0,1.0,377,10,ARG
237,Danilo,Juventus,1.0,1.0,2451,29,BRA
237,Diego Llorente,Roma,1.0,1.0,2173,29,ESP
237,Enzo Barrenechea,Frosinone,1.0,1.0,2816,36,ARG
237,Federico Baschirotto,Lecce,1.0,1.0,3295,37,ITA
237,Joao Ferreira,Udinese,1.0,1.0,1812,35,POR
237,Johan Vásquez,Genoa,1.0,1.0,2851,37,MEX
237,Jordi Mboula,Verona,1.0,1.0,304,11,ESP
237,Koni De Winter,Genoa,1.0,1.0,2378,29,BEL
237,Luca Caldirola,Monza,1.0,1.0,2139,29,ITA
237,Luis Muriel,Atalanta,1.0,1.0,395,18,COL
237,Luka Jovic,Milan,1.0,1.0,867,23,SRB
237,Matteo Darmian,Internazionale,1.0,1.0,2413,33,ITA
237,Matteo Gabbia,Milan,1.0,1.0,1276,18,ITA
237,Matteo Prati,Cagliari,1.0,1.0,1972,26,ITA
237,M'Baye Niang,Empoli,1.0,1.0,706,14,SEN
237,Memeh Caleb Okoli,Frosinone,1.0,1.0,2915,34,ITA
237,Michael Folorunsho,Verona,1.0,1.0,2793,34,ITA
237,Michael Kayode,Fiorentina,1.0,1.0,2063,26,ITA
237,Mike Maignan,Milan,1.0,1.0,2609,29,FRA
237,Radu Dragusin,Genoa,1.0,1.0,1710,19,ROU
237,Remo Freuler,Bologna,1.0,1.0,2632,32,SUI
237,Ruben Loftus-Cheek,Milan,1.0,1.0,2081,29,ENG
237,Sam Beukema,Bologna,1.0,1.0,2549,30,NED
237,Santiago Castro,Bologna,1.0,1.0,238,8,ARG
237,Simone Romagnoli,Frosinone,1.0,1.0,2716,33,ITA
237,Stiven Shpendi,Empoli,1.0,1.0,407,12,ALB
237,Timothy Weah,Juventus,1.0,1.0,1247,30,USA
237,Tyronne Ebuehi,Empoli,1.0,1.0,1096,15,NGA
237,Viktor Kovalenko,Empoli,1.0,1.0,606,17,UKR
237,Walid Cheddira,Frosinone,1.0,1.0,2130,36,MAR
237,Warren Bondo,Monza,1.0,1.0,1471,25,FRA
