Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
215,Valentin Gendrey,Lecce,0.05,0.06,3050,37,FRA
217,Alessandro Bastoni,Internazionale,0.05,0.04,2283,28,ITA
217,Danilo,Juventus,0.05,0.04,2451,29,BRA
217,Davide Calabria,Milan,0.05,0.04,2191,29,ITA
217,Milan Badelj,Genoa,0.05,0.04,2555,33,CRO
217,Samuele Ricci,Torino,0.05,0.04,2400,32,ITA
222,Sebastiano Luperto,Empoli,0.05,0.03,3407,38,ITA
223,Alberto Grassi,Empoli,0.05,0.0,1823,27,ITA
223,Carlos Augusto,Internazionale,0.05,0.0,1703,37,BRA
223,Federico Baschirotto,Lecce,0.05,0.0,3295,37,ITA
223,Marco Davide Faraoni,Fiorentina,0.05,0.0,995,19,ITA
223,Nicolo Casale,Lazio,0.05,0.0,1557,20,ITA
223,Razvan Marin,Empoli,0.05,0.0,1818,30,ROU
223,Suat Serdar,Verona,0.05,0.0,1661,25,GER
223,Thomas Kristensen,Udinese,0.05,0.0,2097,26,DEN
231,Luca Ranieri,Fiorentina,0.04,0.09,2067,26,ITA
232,Matteo Darmian,Internazionale,0.04,0.07,2413,33,ITA
233,Leo Østigard,Napoli,0.04,0.06,1621,25,NOR
233,Stefan de Vrij,Internazionale,0.04,0.06,1578,25,NED
235,Lorenzo Pirola,Salernitana,0.04,0.05,1991,27,ITA
236,Stefan Posch,Bologna,0.04,0.04,2418,31,AUT
237,Manuel Locatelli,Juventus,0.04,0.03,3011,36,ITA
237,Remo Freuler,Bologna,0.04,0.03,2632,32,SUI
237,Simone Romagnoli,Frosinone,0.04,0.03,2716,33,ITA
240,Adam Masina,Torino,0.04,0.0,1083,20,MAR
240,Alessio Romagnoli,Lazio,0.04,0.0,2409,29,ITA
240,Armando Izzo,Monza,0.04,0.0,1653,23,ITA
240,Benjamin Pavard,Internazionale,0.04,0.0,1677,23,FRA
240,Danilo D'Ambrosio,Monza,0.04,0.0,1534,24,ITA
240,Evan N'Dicka,Roma,0.04,0.0,2170,25,CIV
240,Festy Ebosele,Udinese,0.04,0.0,1705,31,IRL
240,Francesco Gelli,Frosinone,0.04,0.0,1558,27,ITA
240,Mateusz Wieteska,Cagliari,0.04,0.0,958,19,POL
240,Michel Aebischer,Bologna,0.04,0.0,2234,36,SUI
240,Nehuén Pérez,Udinese,0.04,0.0,3238,36,ARG
240,Nicolo Rovella,Lazio,0.04,0.0,1322,23,ITA
240,Simon Kjær,Milan,0.04,0.0,1171,20,DEN
240,Yunus Musah,Milan,0.04,0.0,1468,30,USA
254,Nadir Zortea,Frosinone,0.03,0.13,1403,19,ITA
255,Luca Pellegrini,Lazio,0.03,0.12,781,19,ITA
256,Mathias Olivera,Napoli,0.03,0.06,1572,23,URU
257,Rasmus Kristensen,Roma,0.03,0.05,1743,29,DEN
258,Antoine Makoumbou,Cagliari,0.03,0.03,2707,32,CGO
258,Martin Erlic,Sassuolo,0.03,0.03,2624,32,CRO
