Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
333,Davy Klaassen,Internazionale,1.0,0.0,196,13,NED
333,Demba Seck,Torino,1.0,0.0,718,20,SEN
333,Diego Demme,Napoli,1.0,0.0,73,2,GER
333,Djed Spence,Genoa,1.0,0.0,853,16,ENG
333,Eldor Shomurodov,Cagliari,1.0,0.0,933,22,UZB
333,Emanuel Vignato,Salernitana,1.0,0.0,308,9,ITA
333,Emil Bohinen,Salernitana,1.0,0.0,589,17,NOR
333,Erik Botheim,Salernitana,1.0,0.0,316,7,NOR
333,Fares Ghedjemis,Frosinone,1.0,0.0,180,6,FRA
333,Federico Chiesa,Juventus,1.0,0.0,2207,33,ITA
333,Francesco Acerbi,Internazionale,1.0,0.0,2386,29,ITA
333,Gaetano Oristanio,Cagliari,1.0,0.0,1102,25,ITA
333,Gianluca Pegolo,Sassuolo,1.0,0.0,0,1,ITA
333,Gianluca Scamacca,Atalanta,1.0,0.0,1459,29,ITA
333,Gino Infantino,Fiorentina,1.0,0.0,91,6,ARG
333,Giorgio Cittadini,Monza,1.0,0.0,118,6,ITA
333,Hamed Traorè,Napoli,1.0,0.0,383,9,CIV
333,Hans Nicolussi Caviglia,Juventus,1.0,0.0,266,8,ITA
333,Ilario Monterisi,Frosinone,1.0,0.0,1467,24,ITA
333,Jaime Báez,Frosinone,1.0,0.0,502,11,URU
333,Jens Odgaard,Bologna,1.0,0.0,431,10,DEN
333,Jeremy Toljan,Sassuolo,1.0,0.0,2085,25,GER
333,Joao Costa,Roma,1.0,0.0,11,3,BRA
333,Jordan Zemura,Udinese,1.0,0.0,1033,27,ZIM
333,Joseph Boende,Juventus,1.0,0.0,22,2,BEL
333,Jovane Cabral,Salernitana,1.0,0.0,680,12,CPV
333,Juan Cuadrado,Internazionale,1.0,0.0,258,10,COL
333,Kristjan Asllani,Internazionale,1.0,0.0,771,23,ALB
333,Lorenzo Venuti,Lecce,1.0,0.0,357,14,ITA
333,Luca Garritano,Frosinone,1.0,0.0,484,12,ITA
333,Luka Romero,Milan,1.0,0.0,86,4,ARG
333,Marash Kumbulla,Sassuolo,1.0,0.0,358,7,ALB
333,Marco Brescianini,Frosinone,1.0,0.0,2321,36,ITA
333,Marco Pellegrino,Salernitana,1.0,0.0,611,11,ARG
333,Mateus Lusuardi,Frosinone,1.0,0.0,220,4,BRA
333,Matias Vina,Sassuolo,1.0,0.0,1019,15,URU
333,M'Baye Niang,Empoli,1.0,0.0,706,14,SEN
333,Mehdi Bourabia,Frosinone,1.0,0.0,197,10,MAR
333,Mehmet Zeki Celik,Roma,1.0,0.0,665,17,TUR
333,Michele Cerofolini,Frosinone,1.0,0.0,675,8,ITA
333,Mile Svilar,Roma,1.0,0.0,1350,15,SRB
333,Mitchel Bakker,Atalanta,1.0,0.0,372,14,NED
333,Nemanja Radonjic,Torino,1.0,0.0,373,10,SRB
333,Nicola Leali,Genoa,1.0,0.0,177,3,ITA
333,Nicolás González,Fiorentina,1.0,0.0,1913,29,ARG
333,Nicolas Haas,Empoli,1.0,0.0,90,1,SUI
333,Nicolo Fagioli,Juventus,1.0,0.0,440,8,ITA
333,Noah Okafor,Milan,1.0,0.0,869,28,SUI
333,Pantelis Hatzidiakos,Cagliari,1.0,0.0,863,13,GRE
333,Paulo Azzi,Cagliari,1.0,0.0,936,25,BRA
333,Pedro Obiang,Sassuolo,1.0,0.0,453,8,EQG
333,Pietro Comuzzo,Fiorentina,1.0,0.0,39,4,ITA
333,Piotr Zielinski,Napoli,1.0,0.0,1938,28,POL
333,Pol Lirola,Frosinone,1.0,0.0,1538,25,ESP
333,Radu Dragusin,Genoa,1.0,0.0,1710,19,ROU
333,Riccardo Marchizza,Frosinone,1.0,0.0,1149,13,ITA
333,Riccardo Sottil,Fiorentina,1.0,0.0,1108,22,ITA
333,Rui Patricio,Roma,1.0,0.0,2070,23,POR
333,Samuel Chukwueze,Milan,1.0,0.0,1012,24,NGA
333,Samuel Iling-Junior,Juventus,1.0,0.0,800,24,ENG
333,Samuele Mulattieri,Sassuolo,1.0,0.0,441,27,ITA
333,Santiago Castro,Bologna,1.0,0.0,238,8,ARG
333,Simon Kjær,Milan,1.0,0.0,1171,20,DEN
