Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
223,Fabio Miretti,Juventus,1.2,1.0,1104,25,ITA
223,Jacopo Fazzini,Empoli,1.2,1.0,1226,31,ITA
223,Joan Gonzalez,Lecce,1.2,1.0,1283,29,ESP
223,Jovane Cabral,Salernitana,1.2,1.0,680,12,CPV
223,Simone Romagnoli,Frosinone,1.2,1.0,2716,33,ITA
223,Stefan Posch,Bologna,1.2,1.0,2418,31,AUT
232,Giorgos Kyriakopoulos,Monza,1.2,0.0,1716,28,GRE
232,Kacper Urbanski,Bologna,1.2,0.0,921,22,POL
232,Marin Pongracic,Lecce,1.2,0.0,3220,36,CRO
232,Mattia Destro,Empoli,1.2,0.0,356,15,ITA
232,Mohamed Kaba,Lecce,1.2,0.0,1382,23,FRA
232,Paulo Azzi,Cagliari,1.2,0.0,936,25,BRA
232,Thomas Kristensen,Udinese,1.2,0.0,2097,26,DEN
232,Tyronne Ebuehi,Empoli,1.2,0.0,1096,15,NGA
240,Ruslan Malinovsky,Genoa,1.1,4.0,1547,28,UKR
241,Ilario Monterisi,Frosinone,1.1,2.0,1467,24,ITA
241,Vitor Oliveira,Genoa,1.1,2.0,281,9,POR
243,Alberto Grassi,Empoli,1.1,0.0,1823,27,ITA
243,Alexis Blin,Lecce,1.1,0.0,1632,31,FRA
243,Michel Aebischer,Bologna,1.1,0.0,2234,36,SUI
243,Razvan Marin,Empoli,1.1,0.0,1818,30,ROU
247,Szymon Zurkowski,Empoli,1.0,4.0,871,13,POL
248,Arthur,Fiorentina,1.0,2.0,1993,33,BRA
248,Radu Dragusin,Genoa,1.0,2.0,1710,19,ROU
250,Gregoire Defrel,Sassuolo,1.0,1.0,751,20,MTQ
250,Martin Erlic,Sassuolo,1.0,1.0,2624,32,CRO
250,Mattia Viti,Sassuolo,1.0,1.0,985,15,ITA
250,Santiago Castro,Bologna,1.0,1.0,238,8,ARG
250,Shon Weissman,Salernitana,1.0,1.0,493,11,ISR
250,Ylber Ramadani,Lecce,1.0,1.0,2976,34,ALB
256,Carlos Augusto,Internazionale,1.0,0.0,1703,37,BRA
256,Evan N'Dicka,Roma,1.0,0.0,2170,25,CIV
256,Manuel Lazzari,Lazio,1.0,0.0,1675,24,ITA
256,Suat Serdar,Verona,1.0,0.0,1661,25,GER
260,Luca Ranieri,Fiorentina,0.9,2.0,2067,26,ITA
260,Yann Aurel Bisseck,Internazionale,0.9,2.0,898,16,GER
262,Antoine Makoumbou,Cagliari,0.9,1.0,2707,32,CGO
262,Lorenzo Pirola,Salernitana,0.9,1.0,1991,27,ITA
262,Mirko Maric,Monza,0.9,1.0,279,10,CRO
262,Nikola Moro,Bologna,0.9,1.0,835,23,CRO
262,Uros Racic,Sassuolo,0.9,1.0,813,22,SRB
262,Viktor Kovalenko,Empoli,0.9,1.0,606,17,UKR
262,Warren Bondo,Monza,0.9,1.0,1471,25,FRA
269,Alessio Romagnoli,Lazio,0.9,0.0,2409,29,ITA
269,Alessio Zerbin,Monza,0.9,0.0,829,20,ITA
269,Berat Djimsiti,Atalanta,0.9,0.0,2831,37,ALB
269,Emanuele Valeri,Frosinone,0.9,0.0,1178,16,ITA
269,Fabiano Parisi,Fiorentina,0.9,0.0,1452,21,ITA
269,Hamed Traorè,Napoli,0.9,0.0,383,9,CIV
269,Koni De Winter,Genoa,0.9,0.0,2378,29,BEL
269,Nicolo Casale,Lazio,0.9,0.0,1557,20,ITA
277,Ibrahim Sulemana,Cagliari,0.8,2.0,1342,21,GHA
277,Walace,Udinese,0.8,2.0,3243,37,BRA
279,Arijon Ibrahimovic,Frosinone,0.8,1.0,470,16,GER
279,Jordan Zemura,Udinese,0.8,1.0,1033,27,ZIM
279,Leo Østigard,Napoli,0.8,1.0,1621,25,NOR
282,Benjamin Pavard,Internazionale,0.8,0.0,1677,23,FRA
282,Domagoj Bradaric,Salernitana,0.8,0.0,2753,34,CRO
282,Festy Ebosele,Udinese,0.8,0.0,1705,31,IRL
282,Jhon Lucumi,Bologna,0.8,0.0,2214,29,COL
282,Nicola Zalewski,Roma,0.8,0.0,966,22,POL
282,Rick Karsdorp,Roma,0.8,0.0,1214,18,NED
282,Stefano Sabelli,Genoa,0.8,0.0,2448,32,ITA
289,Perr Schuurs,Torino,0.7,1.0,771,9,NED
289,Samuel Iling-Junior,Juventus,0.7,1.0,800,24,ENG
289,Stefan de Vrij,Internazionale,0.7,1.0,1578,25,NED
292,Adrien Tamèze,Torino,0.7,0.0,2154,29,FRA
292,Armando Izzo,Monza,0.7,0.0,1653,23,ITA
292,Danilo D'Ambrosio,Monza,0.7,0.0,1534,24,ITA
292,Filip Kostic,Juventus,0.7,0.0,1831,29,SRB
292,Francesco Gelli,Frosinone,0.7,0.0,1558,27,ITA
292,Gianluca Caprari,Monza,0.7,0.0,286,6,ITA
292,Jesper Lindstrøm,Napoli,0.7,0.0,417,22,DEN
