Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
322,Olivier Giroud,Milan,12.7,69.4,2372,35,FRA
323,Leonardo Pavoletti,Cagliari,12.5,56.2,620,19,ITA
324,Lorenzo Colombo,Monza,12.0,70.3,1366,25,ITA
325,Noah Okafor,Milan,12.0,69.9,869,28,SUI
326,Festy Ebosele,Udinese,11.9,71.4,1705,31,IRL
327,Andrea Pinamonti,Sassuolo,11.9,66.3,3100,38,ITA
328,Milan Djuric,Monza,11.7,53.1,2464,37,BIH
329,Francesco Caputo,Empoli,11.4,76.1,1274,20,ITA
330,Caleb Ekuban,Genoa,11.1,66.7,1123,29,GHA
331,Walid Cheddira,Frosinone,11.0,69.0,2130,36,MAR
332,Maduka Okoye,Udinese,11.0,57.2,1890,21,NGA
333,Matteo Cancellieri,Empoli,10.8,65.5,1784,36,ITA
334,Mateo Retegui,Genoa,10.7,68.4,2225,29,ITA
335,Pietro Pellegri,Torino,10.3,64.9,745,24,ITA
336,Zito Luvumbo,Cagliari,9.8,72.9,1947,30,ANG
337,Roberto Piccoli,Lecce,9.7,61.5,1397,37,ITA
338,Chukwubuikem Ikwuemesi,Salernitana,9.4,67.1,1058,25,NGA
339,Lorenzo Lucca,Udinese,9.3,61.1,2600,37,ITA
340,Moise Kean,Juventus,9.0,69.9,650,19,ITA
341,Gianluca Lapadula,Cagliari,8.8,72.4,1206,23,PER
342,Victor Osimhen,Napoli,8.6,71.0,1990,25,NGA
