Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
282,Matteo Cancellieri,Empoli,6.49,1.0,1784,36,ITA
284,Paulo Azzi,Cagliari,6.49,0.0,936,25,BRA
284,Gustav Isaksen,Lazio,6.49,0.0,1069,28,DEN
286,Alex Meret,Napoli,6.49,1.0,2774,31,ITA
287,Tommaso Baldanzi,Roma,6.49,0.0,1259,27,ITA
288,Luca Caldirola,Monza,6.47,0.0,2139,29,ITA
289,Pedro Pereira,Monza,6.47,1.0,833,23,POR
290,Pedro Rodriguez,Lazio,6.46,0.0,798,33,ESP
291,Arkadiusz Milik,Juventus,6.45,0.0,902,32,POL
291,M'Bala Nzola,Fiorentina,6.45,0.0,1545,33,ANG
293,Gaetano Oristanio,Cagliari,6.44,0.0,1102,25,ITA
293,Lorenzo Pirola,Salernitana,6.44,0.0,1991,27,ITA
295,Lorenzo Colombo,Monza,6.43,1.0,1366,25,ITA
295,Marcus Holmgren Pedersen,Sassuolo,6.43,1.0,1605,28,NOR
297,Nicola Sansone,Lecce,6.42,0.0,750,25,ITA
298,Eldor Shomurodov,Cagliari,6.41,1.0,933,22,UZB
299,Isaac Success,Udinese,6.41,0.0,872,27,NGA
299,Matteo Lovato,Torino,6.41,0.0,1490,26,ITA
301,Andrea Consigli,Sassuolo,6.4,1.0,3150,35,ITA
302,Federico Bonazzoli,Verona,6.4,0.0,1014,24,ITA
303,Simone Scuffet,Cagliari,6.39,1.0,2789,31,ITA
304,Emmanuel Quartsin Gyasi,Empoli,6.36,0.0,1873,33,GHA
305,Roberto Piccoli,Lecce,6.3,0.0,1397,37,ITA
306,Francesco Caputo,Empoli,6.29,0.0,1274,20,ITA
307,Stefano Turati,Frosinone,6.29,1.0,2745,31,ITA
308,Ruan Tressoldi,Sassuolo,6.28,0.0,1515,26,BRA
309,Guillermo Ochoa,Salernitana,6.21,0.0,1890,21,MEX
310,Mateusz Legowski,Salernitana,6.2,0.0,1132,29,POL
311,Chukwubuikem Ikwuemesi,Salernitana,6.11,0.0,1058,25,NGA
