Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
215,Joao Ferreira,Udinese,13.0,0.6,1812,35,POR
216,Luca Mazzitelli,Frosinone,13.0,0.5,2221,29,ITA
217,Morten Frendrup,Genoa,13.0,0.4,3146,37,DEN
218,Daniel Maldini,Monza,12.0,1.8,588,18,ITA
219,Simone Bastoni,Empoli,12.0,1.4,748,16,ITA
220,Alessandro Zanoli,Salernitana,12.0,1.1,969,21,ITA
220,Marco Davide Faraoni,Fiorentina,12.0,1.1,995,19,ITA
222,Christian Kouamé,Fiorentina,12.0,1.0,1084,23,CIV
222,Junior Sambia,Salernitana,12.0,1.0,1031,18,FRA
224,Juan Cabal,Verona,12.0,0.7,1497,22,COL
225,Rasmus Kristensen,Roma,12.0,0.6,1743,29,DEN
226,Davide Calabria,Milan,12.0,0.5,2191,29,ITA
227,Alberto Dossena,Cagliari,12.0,0.4,2979,35,ITA
228,Gianluca Caprari,Monza,11.0,3.5,286,6,ITA
229,Nicolo Fagioli,Juventus,11.0,2.3,440,8,ITA
230,Nikola Moro,Bologna,11.0,1.2,835,23,CRO
231,Isaac Success,Udinese,11.0,1.1,872,27,NGA
231,Luka Jovic,Milan,11.0,1.1,867,23,SRB
233,Riccardo Marchizza,Frosinone,11.0,0.9,1149,13,ITA
233,Tyronne Ebuehi,Empoli,11.0,0.9,1096,15,NGA
235,Danilo Cataldi,Lazio,11.0,0.7,1360,28,ITA
236,Ruslan Malinovsky,Genoa,11.0,0.6,1547,28,UKR
237,Giulio Maggiore,Salernitana,11.0,0.5,1807,27,ITA
237,Lassana Coulibaly,Salernitana,11.0,0.5,2086,28,MLI
239,Giorgio Scalvini,Atalanta,11.0,0.4,2553,33,ITA
239,Mateo Retegui,Genoa,11.0,0.4,2225,29,ITA
241,Johan Vásquez,Genoa,11.0,0.3,2851,37,MEX
241,Marin Pongracic,Lecce,11.0,0.3,3220,36,CRO
241,Sebastiano Luperto,Empoli,11.0,0.3,3407,38,ITA
244,Dodo,Fiorentina,10.0,1.7,523,9,BRA
245,Jovane Cabral,Salernitana,10.0,1.3,680,12,CPV
246,Houssem Aouar,Roma,10.0,1.2,756,16,ALG
247,Davide Frattesi,Internazionale,10.0,1.0,934,32,ITA
247,Eldor Shomurodov,Cagliari,10.0,1.0,933,22,UZB
247,Maxime Lopez,Fiorentina,10.0,1.0,936,21,FRA
250,Anthony Oyono,Frosinone,10.0,0.8,1197,16,GAB
250,Boulaye Dia,Salernitana,10.0,0.8,1143,17,SEN
252,Francesco Caputo,Empoli,10.0,0.7,1274,20,ITA
252,Nicolo Rovella,Lazio,10.0,0.7,1322,23,ITA
252,Rick Karsdorp,Roma,10.0,0.7,1214,18,NED
255,Alessandro Deiola,Cagliari,10.0,0.6,1608,27,ITA
255,Marcus Holmgren Pedersen,Sassuolo,10.0,0.6,1605,28,NOR
255,Roberto Piccoli,Lecce,10.0,0.6,1397,37,ITA
258,Benjamin Pavard,Internazionale,10.0,0.5,1677,23,FRA
258,Emmanuel Quartsin Gyasi,Empoli,10.0,0.5,1873,33,GHA
260,Adam Marusic,Lazio,10.0,0.3,3106,37,MNE
260,Federico Gatti,Juventus,10.0,0.3,2640,32,ITA
260,Gianluca Mancini,Roma,10.0,0.3,2872,36,ITA
263,Juan Cuadrado,Internazionale,9.0,3.1,258,10,COL
264,Mehmet Zeki Celik,Roma,9.0,1.2,665,17,TUR
265,M'Baye Niang,Empoli,9.0,1.1,706,14,SEN
266,Giovanni Simeone,Napoli,9.0,1.0,787,28,ARG
267,Charalambos Lykogiannis,Bologna,9.0,0.9,899,22,GRE
267,Paulo Azzi,Cagliari,9.0,0.9,936,25,BRA
269,Elseid Hysaj,Lazio,9.0,0.7,1194,22,ALB
269,Martin Hongla,Verona,9.0,0.7,1085,15,CMR
269,Morten Thorsby,Genoa,9.0,0.7,1143,24,NOR
272,Andrea Carboni,Monza,9.0,0.5,1490,21,ITA
272,Manuel Lazzari,Lazio,9.0,0.5,1675,24,ITA
274,Gian Marco Ferrari,Sassuolo,9.0,0.4,2268,31,ITA
275,Hans Nicolussi Caviglia,Juventus,8.0,2.7,266,8,ITA
276,Hamed Traorè,Napoli,8.0,1.9,383,9,CIV
277,Arijon Ibrahimovic,Frosinone,8.0,1.5,470,16,GER
277,Karol Swiderski,Verona,8.0,1.5,496,15,POL
279,Gvidas Gineitis,Torino,8.0,1.4,532,14,LTU
279,Jaime Báez,Frosinone,8.0,1.4,502,11,URU
281,Sardar Azmoun,Roma,8.0,1.3,571,23,IRN
282,Viktor Kovalenko,Empoli,8.0,1.2,606,17,UKR
283,Gregoire Defrel,Sassuolo,8.0,1.0,751,20,MTQ
284,Kaio Jorge,Frosinone,8.0,0.9,805,20,BRA
284,Kristjan Asllani,Internazionale,8.0,0.9,771,23,ALB
286,Kingsley Ehizibue,Udinese,8.0,0.8,955,23,NED
286,Noah Okafor,Milan,8.0,0.8,869,28,SUI
288,Chukwubuikem Ikwuemesi,Salernitana,8.0,0.7,1058,25,NGA
288,Federico Bonazzoli,Verona,8.0,0.7,1014,24,ITA
288,Giuseppe Pezzella,Empoli,8.0,0.7,1088,19,ITA
288,Jordan Zemura,Udinese,8.0,0.7,1033,27,ZIM
292,Lorenzo Colombo,Monza,8.0,0.5,1366,25,ITA
293,Bartosz Bereszynski,Empoli,8.0,0.4,1766,24,POL
294,Nikola Milenkovic,Fiorentina,8.0,0.3,2506,34,SRB
294,Sead Kolasinac,Atalanta,8.0,0.3,2182,30,BIH
296,Gaetano Castrovilli,Fiorentina,7.0,1.7,370,6,ITA
297,El Bilal Touré,Atalanta,7.0,1.6,386,11,MLI
298,Emil Bohinen,Genoa,7.0,1.1,589,17,NOR
299,Leonardo Pavoletti,Cagliari,7.0,1.0,620,19,ITA
300,Mateusz Legowski,Salernitana,7.0,0.6,1132,29,POL
300,Matias Vecino,Lazio,7.0,0.6,1135,31,URU
302,Alexis Blin,Lecce,7.0,0.4,1632,31,FRA
302,Armando Izzo,Monza,7.0,0.4,1653,23,ITA
302,Radu Dragusin,Genoa,7.0,0.4,1710,19,ROU
302,Warren Bondo,Monza,7.0,0.4,1471,25,FRA
306,Francesco Acerbi,Internazionale,7.0,0.3,2386,29,ITA
306,Luca Ranieri,Fiorentina,7.0,0.3,2067,26,ITA
306,Mario Gila,Lazio,7.0,0.3,1813,21,ESP
309,Berat Djimsiti,Atalanta,7.0,0.2,2831,37,ALB
309,Gleison Bremer,Juventus,7.0,0.2,3234,36,BRA
309,Nehuén Pérez,Udinese,7.0,0.2,3238,36,ARG
309,Sam Beukema,Bologna,7.0,0.2,2549,30,NED
313,Beto,Udinese,6.0,7.3,74,1,POR
314,Eljif Elmas,Napoli,6.0,1.6,331,11,MKD
315,Samuele Mulattieri,Sassuolo,6.0,1.2,441,27,ITA
316,Marvin Cuni,Frosinone,6.0,1.0,522,22,ALB
316,Oussama El Azzouzi,Bologna,6.0,1.0,536,18,MAR
318,Fabien Centonze,Verona,6.0,0.8,674,10,FRA
318,Josip Brekalo,Fiorentina,6.0,0.8,654,11,CRO
320,Agustin Martegani,Salernitana,6.0,0.7,725,18,ARG
320,Uros Racic,Sassuolo,6.0,0.7,813,22,SRB
322,Adam Obert,Cagliari,6.0,0.6,940,17,SVK
322,Djed Spence,Genoa,6.0,0.6,853,16,ENG
322,Jakub Jankto,Cagliari,6.0,0.6,878,18,CZE
325,Alberto Grassi,Empoli,6.0,0.3,1823,27,ITA
326,Alessio Romagnoli,Lazio,6.0,0.2,2409,29,ITA
326,Evan N'Dicka,Roma,6.0,0.2,2170,25,CIV
326,Giangiacomo Magnani,Verona,6.0,0.2,2441,33,ITA
329,Berkan Kutlu,Genoa,5.0,2.3,192,6,TUR
330,Medon Berisha,Lecce,5.0,2.2,204,6,ALB
331,Mirko Maric,Monza,5.0,1.6,279,10,CRO
331,Ruben Vinagre,Verona,5.0,1.6,277,12,POR
333,Emanuel Vignato,Salernitana,5.0,1.5,308,9,ITA
334,Alessandro Di Pardo,Cagliari,5.0,1.3,352,15,ITA
334,Jesper Karlsson,Bologna,5.0,1.3,345,7,SWE
336,Stiven Shpendi,Empoli,5.0,1.1,407,12,ALB
337,Pedro Obiang,Sassuolo,5.0,1.0,453,8,EQG
338,Moise Kean,Juventus,5.0,0.7,650,19,ITA
338,Rade Krunic,Milan,5.0,0.7,686,10,BIH
338,Simy,Salernitana,5.0,0.7,680,15,NGA
341,Alex Sandro,Juventus,5.0,0.6,716,16,BRA
341,Demba Seck,Frosinone,5.0,0.6,718,20,SEN
341,Flavius Daniliuc,Salernitana,5.0,0.6,742,14,AUT
344,Mateusz Wieteska,Cagliari,5.0,0.5,958,19,POL
