Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
250,Marcus Thuram,Internazionale,0.6,19.0,2707,35,FRA
251,Wojciech Szczesny,Juventus,0.6,20.0,3150,35,POL
252,Loum Tchaouna,Salernitana,0.6,13.0,2099,33,FRA
253,Pietro Terracciano,Fiorentina,0.6,19.0,2970,33,ITA
254,Darko Lazovic,Verona,0.6,13.0,1942,32,SRB
255,Lucas Beltran,Fiorentina,0.6,11.0,1694,32,ARG
256,Lukasz Skorupski,Bologna,0.6,18.0,2880,32,POL
257,Romelu Lukaku,Roma,0.6,19.0,2644,32,BEL
258,Ciro Immobile,Lazio,0.6,11.0,1656,31,ITA
258,Edoardo Bove,Roma,0.6,11.0,1777,31,ITA
260,Alfred Duncan,Fiorentina,0.6,13.0,1893,30,GHA
261,Ivan Provedel,Lazio,0.6,18.0,2699,30,ITA
262,Caleb Ekuban,Genoa,0.6,7.0,1123,29,GHA
263,Gianluca Scamacca,Atalanta,0.6,9.0,1459,29,ITA
264,Giovanni Simeone,Napoli,0.6,5.0,787,28,ARG
264,Marko Arnautovic,Internazionale,0.6,5.0,779,27,AUT
266,Gaetano Oristanio,Cagliari,0.6,7.0,1102,25,ITA
267,Cristian Volpato,Sassuolo,0.6,4.0,632,22,ITA
268,Jesper Lindstrøm,Napoli,0.6,3.0,417,22,DEN
269,Gabriel Strefezza,Lecce,0.6,8.0,1118,19,BRA
270,Antonio Sanabria,Torino,0.5,11.0,2133,35,PAR
271,Andre-Frank Zambo Anguissa,Napoli,0.5,17.0,2792,34,CMR
272,Rafael Leao,Milan,0.5,15.0,2523,34,POR
273,Yann Sommer,Internazionale,0.5,16.0,3060,34,SUI
274,Cyril Ngonge,Napoli,0.5,10.0,1743,32,BEL
274,Dan Ndoye,Bologna,0.5,10.0,1775,32,SUI
276,Joan Gonzalez,Lecce,0.5,7.0,1283,29,ESP
277,Mattia Zaccagni,Lazio,0.5,12.0,1971,28,ITA
278,Nicola Sansone,Lecce,0.5,4.0,750,25,ITA
