Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
205,Antonin Barak,Fiorentina,1.0,10.0,802,21,CZE
205,Grigoris Kastanos,Salernitana,1.0,10.0,1486,26,CYP
205,Piotr Zielinski,Napoli,1.0,10.0,1938,28,POL
209,Viktor Kovalenko,Empoli,1.0,9.1,606,17,UKR
210,Arijon Ibrahimovic,Frosinone,1.0,8.3,470,16,GER
210,Simone Romagnoli,Frosinone,1.0,8.3,2716,33,ITA
212,Daniel Boloca,Sassuolo,1.0,7.7,2023,30,ROU
213,Stephan El Shaarawy,Roma,1.0,7.5,1741,33,ITA
214,Daichi Kamada,Lazio,1.0,6.9,1543,29,JPN
214,Tommaso Baldanzi,Empoli,1.0,6.9,1259,27,ITA
216,Alessandro Bastoni,Internazionale,1.0,6.7,2283,28,ITA
216,Lorenzo Pirola,Salernitana,1.0,6.7,1991,27,ITA
216,Morten Frendrup,Genoa,1.0,6.7,3146,37,DEN
219,Nikola Vlasic,Torino,1.0,6.5,2614,33,CRO
220,Nedim Bajrami,Sassuolo,1.0,6.3,1312,28,ALB
221,Danilo,Juventus,1.0,5.9,2451,29,BRA
221,Uros Racic,Sassuolo,1.0,5.9,813,22,SRB
221,Warren Bondo,Monza,1.0,5.9,1471,25,FRA
224,Giorgio Scalvini,Atalanta,1.0,5.3,2553,33,ITA
225,Andrea Petagna,Cagliari,1.0,5.0,996,18,ITA
225,Fabio Miretti,Juventus,1.0,5.0,1104,25,ITA
225,Pontus Almqvist,Lecce,1.0,5.0,2115,30,SWE
228,Davide Calabria,Milan,1.0,4.8,2191,29,ITA
229,Junior Messias,Genoa,1.0,4.6,1056,18,BRA
230,Ondrej Duda,Verona,1.0,4.2,2463,32,SVK
231,Jovane Cabral,Salernitana,1.0,4.0,680,12,CPV
232,Gabriel Strefezza,Lecce,1.0,3.6,1118,19,BRA
233,Ylber Ramadani,Lecce,1.0,3.2,2976,34,ALB
234,Raoul Bellanova,Torino,1.0,3.1,3063,37,ITA
235,Johan Vásquez,Genoa,1.0,2.9,2851,37,MEX
236,Matteo Prati,Cagliari,1.0,2.8,1972,26,ITA
237,Adam Masina,Torino,1.0,0.0,1083,20,MAR
237,Alessio Romagnoli,Lazio,1.0,0.0,2409,29,ITA
237,Alessio Zerbin,Monza,1.0,0.0,829,20,ITA
237,Antonino Gallo,Lecce,1.0,0.0,2500,35,ITA
237,Armando Izzo,Monza,1.0,0.0,1653,23,ITA
237,Benjamin Pavard,Internazionale,1.0,0.0,1677,23,FRA
237,Berat Djimsiti,Atalanta,1.0,0.0,2831,37,ALB
237,Brenner da Silva,Udinese,1.0,0.0,185,8,BRA
237,Carlos Augusto,Internazionale,1.0,0.0,1703,37,BRA
237,Demba Seck,Frosinone,1.0,0.0,718,20,SEN
237,Elseid Hysaj,Lazio,1.0,0.0,1194,22,ALB
237,Emanuele Valeri,Frosinone,1.0,0.0,1178,16,ITA
237,Festy Ebosele,Udinese,1.0,0.0,1705,31,IRL
237,Filip Kostic,Juventus,1.0,0.0,1831,29,SRB
237,Filippo Terracciano,Verona,1.0,0.0,1368,21,ITA
237,Francesco Gelli,Frosinone,1.0,0.0,1558,27,ITA
237,Gianluca Caprari,Monza,1.0,0.0,286,6,ITA
237,Gvidas Gineitis,Torino,1.0,0.0,532,14,LTU
237,Hamed Traorè,Napoli,1.0,0.0,383,9,CIV
237,Iron Gomis,Salernitana,1.0,0.0,130,5,FRA
237,Jaka Bijol,Udinese,1.0,0.0,2083,24,SVN
237,Jean-Daniel Akpa-Akpro,Monza,1.0,0.0,700,19,CIV
237,Jeremy Toljan,Sassuolo,1.0,0.0,2085,25,GER
237,Jesper Karlsson,Bologna,1.0,0.0,345,7,SWE
237,Jhon Lucumi,Bologna,1.0,0.0,2214,29,COL
237,Jordi Mboula,Verona,1.0,0.0,304,11,ESP
237,Josh Doig,Verona,1.0,0.0,2183,28,SCO
237,Kingsley Ehizibue,Udinese,1.0,0.0,955,23,NED
237,Koni De Winter,Genoa,1.0,0.0,2378,29,BEL
237,Lassana Coulibaly,Salernitana,1.0,0.0,2086,28,MLI
237,Liberato Cacace,Empoli,1.0,0.0,1907,31,NZL
237,Malick Thiaw,Milan,1.0,0.0,1620,21,GER
237,Manuel Lazzari,Lazio,1.0,0.0,1675,24,ITA
237,Marco Davide Faraoni,Verona,1.0,0.0,995,19,ITA
237,Mario Rui,Napoli,1.0,0.0,1205,21,POR
237,Matias Vina,Sassuolo,1.0,0.0,1019,15,URU
237,Matteo Ruggeri,Atalanta,1.0,0.0,2466,34,ITA
237,Michel Aebischer,Bologna,1.0,0.0,2234,36,SUI
237,Michel Ndary Adopo,Atalanta,1.0,0.0,101,10,FRA
237,Nicolo Casale,Lazio,1.0,0.0,1557,20,ITA
237,Nicolo Rovella,Lazio,1.0,0.0,1322,23,ITA
237,Nikola Milenkovic,Fiorentina,1.0,0.0,2506,34,SRB
237,Pantelis Hatzidiakos,Cagliari,1.0,0.0,863,13,GRE
237,Patrick Ciurria,Monza,1.0,0.0,1602,22,ITA
237,Paulo Azzi,Cagliari,1.0,0.0,936,25,BRA
237,Ruan Tressoldi,Sassuolo,1.0,0.0,1515,26,BRA
237,Saba Sazonov,Torino,1.0,0.0,348,12,GEO
237,Samuele Mulattieri,Sassuolo,1.0,0.0,441,27,ITA
237,Simon Kjær,Milan,1.0,0.0,1171,20,DEN
237,Stanislav Lobotka,Napoli,1.0,0.0,3293,38,SVK
237,Suat Serdar,Verona,1.0,0.0,1661,25,GER
237,Sydney van Hooijdonk,Bologna,1.0,0.0,207,9,NED
237,Thomas Kristensen,Udinese,1.0,0.0,2097,26,DEN
237,Tyronne Ebuehi,Empoli,1.0,0.0,1096,15,NGA
