Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
208,Jackson Tchatchoua,Verona,1.2,31.9,1725,26,CMR
209,Dan Ndoye,Bologna,1.1,78.6,1775,32,SUI
210,Stephan El Shaarawy,Roma,1.1,63.6,1741,33,ITA
211,Davide Zappacosta,Atalanta,1.1,62.2,1875,31,ITA
212,Fabio Miretti,Juventus,1.1,58.3,1104,25,ITA
213,Jesper Lindstrøm,Napoli,1.1,50.0,417,22,DEN
213,Nicola Sansone,Lecce,1.1,50.0,750,25,ITA
215,Hassane Kamara,Udinese,1.1,44.3,2238,35,CIV
216,Michael Folorunsho,Verona,1.1,39.5,2793,34,ITA
217,Darko Lazovic,Verona,1.1,37.7,1942,32,SRB
218,Alessandro Zanoli,Salernitana,1.1,37.5,969,21,ITA
218,Hamza Rafia,Lecce,1.1,37.5,1211,28,TUN
220,Pasquale Mazzocchi,Napoli,1.1,31.3,1704,28,ITA
221,Stefano Sabelli,Genoa,1.1,28.2,2448,32,ITA
222,Kacper Urbanski,Bologna,1.0,76.9,921,22,POL
223,Rafael Leao,Milan,1.0,68.3,2523,34,POR
224,Weston McKennie,Juventus,1.0,62.2,2599,34,USA
225,Samuel Chukwueze,Milan,1.0,61.1,1012,24,NGA
226,Riccardo Sottil,Fiorentina,1.0,60.0,1108,22,ITA
227,Adrien Rabiot,Juventus,1.0,55.6,2651,31,FRA
228,Matias Soulé,Frosinone,1.0,50.7,3136,36,ARG
229,Josh Doig,Sassuolo,1.0,28.7,2183,28,SCO
230,Yunus Musah,Milan,0.9,62.5,1468,30,USA
231,Christian Kouamé,Fiorentina,0.9,61.1,1084,23,CIV
232,Mattia Zaccagni,Lazio,0.9,60.6,1971,28,ITA
233,Cyril Ngonge,Napoli,0.9,54.8,1743,32,BEL
234,Davide Frattesi,Internazionale,0.9,52.9,934,32,ITA
235,Roberto Pereyra,Udinese,0.9,52.8,1862,27,ARG
236,Mohamed Kaba,Lecce,0.9,48.3,1382,23,FRA
237,Loum Tchaouna,Salernitana,0.9,46.7,2099,33,FRA
238,Felipe Anderson,Lazio,0.9,43.8,2782,38,BRA
239,Hans Hateboer,Atalanta,0.9,39.3,1104,23,NED
240,Remo Freuler,Bologna,0.9,38.8,2632,32,SUI
241,Radu Dragusin,Genoa,0.9,30.5,1710,19,ROU
242,Jordan Zemura,Udinese,0.9,28.6,1033,27,ZIM
243,Emil Holm,Atalanta,0.9,28.1,948,22,SWE
244,Jens-Lys Cajuste,Napoli,0.8,75.0,1007,26,SWE
245,Arkadiusz Milik,Juventus,0.8,72.7,902,32,POL
246,Antonio Sanabria,Torino,0.8,66.7,2133,35,PAR
247,Gianluca Gaetano,Cagliari,0.8,50.0,905,20,ITA
248,Isaac Success,Udinese,0.8,44.4,872,27,NGA
249,Martin Payero,Udinese,0.8,42.5,1801,29,ARG
250,Marco Brescianini,Frosinone,0.8,37.5,2321,36,ITA
251,Samuel Iling-Junior,Juventus,0.8,33.3,800,24,ENG
252,Sead Kolasinac,Atalanta,0.8,27.0,2182,30,BIH
253,Lucas Beltran,Fiorentina,0.7,81.3,1694,32,ARG
254,Nedim Bajrami,Sassuolo,0.7,76.9,1312,28,ALB
255,Lautaro Martinez,Internazionale,0.7,65.6,2668,33,ARG
256,Charles De Ketelaere,Atalanta,0.7,65.4,2042,35,BEL
257,Lorenzo Colombo,Monza,0.7,62.5,1366,25,ITA
258,Nikola Vlasic,Torino,0.7,60.0,2614,33,CRO
259,Tommaso Baldanzi,Empoli,0.7,58.8,1259,27,ITA
260,Reinier,Frosinone,0.7,57.1,1064,22,BRA
261,Denzel Dumfries,Internazionale,0.7,43.3,1640,31,NED
262,Morten Frendrup,Genoa,0.7,40.0,3146,37,DEN
263,Manuel Lazzari,Lazio,0.7,38.2,1675,24,ITA
264,Lorenzo Pellegrini,Roma,0.7,33.3,1866,29,ITA
265,Jacopo Fazzini,Empoli,0.7,31.3,1226,31,ITA
266,M'Bala Nzola,Fiorentina,0.6,83.3,1545,33,ANG
267,Moise Kean,Juventus,0.6,80.0,650,19,ITA
268,Joshua Zirkzee,Bologna,0.6,73.1,2771,34,NED
269,Duvan Zapata,Torino,0.6,65.6,3005,37,COL
270,Caleb Ekuban,Genoa,0.6,63.6,1123,29,GHA
271,Nicolo Cambiaghi,Empoli,0.6,62.1,2562,37,ITA
